,Player ID,Player Name,SoGs,Date,sogs_calc,Trailing 1 Game Avg SoGs,Trailing 3 Game Avg SoGs,Trailing 5 Game Avg SoGs,Trailing 7 Game Avg SoGs,Trailing 10 Game Avg SoGs,Average SoGs,Prediction 1 Game Avg SoGs,Prediction 3 Game Avg SoGs,Prediction 5 Game Avg SoGs,Prediction 7 Game Avg SoGs,Prediction 10 Game Avg SoGs,Prediction Average SoGs,Over 1.5,Over 2.5,Over 3.5,Over 4.5
8481600,8481600,T. Bjornfot,0,2023-10-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
8481523,8481523,K. Dach,0,2023-10-14,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.5,0,0,0,0
8482142,8482142,J. Drysdale,1,2023-10-15,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.5,0,0,0,0
8483489,8483489,F. Minten,1,2023-10-19,1.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,1.0,0.6666666666666666,0.0,0.0,0.0,0.75,0,0,0,0
8480267,8480267,S. Walker,0,2023-10-21,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0,0,0
8482250,8482250,C. Burke,0,2023-10-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
8473473,8473473,M. Lucic,0,2023-10-21,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.25,0,0,0,0
8482088,8482088,J. Sourdif,1,2023-10-21,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0,0,0,0
8482126,8482126,E. Andrae,0,2023-10-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
8482713,8482713,M. Samoskevich,1,2023-10-24,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.6666666666666667,0.0,0.0,0.0,1.6666666666666667,0,0,0,0
